species,gene,lam,k,rep,error
68,47,0.00001,3,11,200
36,47,0.00001,3,11,200
45,47,0.00001,3,11,200
91,49,0.00001,3,11,200
96,49,0.00001,3,11,200
5,49,0.00001,3,11,200
3,49,0.00001,3,11,200
46,49,0.00001,3,11,200
85,49,0.00001,3,11,200
82,49,0.00001,3,11,200
4,49,0.00001,3,11,200
22,49,0.00001,3,11,200
48,49,0.00001,3,11,200
68,49,0.00001,3,11,200
36,49,0.00001,3,11,200
45,49,0.00001,3,11,200
57,50,0.00001,3,11,200
50,50,0.00001,3,11,200
8,56,0.00001,3,11,200
4,57,0.00001,3,11,200
21,57,0.00001,3,11,200
43,63,0.00001,3,11,200
9,68,0.00001,3,11,200
6,68,0.00001,3,11,200
91,68,0.00001,3,11,200
96,68,0.00001,3,11,200
67,68,0.00001,3,11,200
43,68,0.00001,3,11,200
5,68,0.00001,3,11,200
29,68,0.00001,3,11,200
1,68,0.00001,3,11,200
3,68,0.00001,3,11,200
46,68,0.00001,3,11,200
85,68,0.00001,3,11,200
82,68,0.00001,3,11,200
4,68,0.00001,3,11,200
22,68,0.00001,3,11,200
48,68,0.00001,3,11,200
68,68,0.00001,3,11,200
36,68,0.00001,3,11,200
45,68,0.00001,3,11,200
29,71,0.00001,3,11,200
65,72,0.00001,3,11,200
61,72,0.00001,3,11,200
81,72,0.00001,3,11,200
7,72,0.00001,3,11,200
76,72,0.00001,3,11,200
42,74,0.00001,3,11,200
10,74,0.00001,3,11,200
67,77,0.00001,3,11,200
5,77,0.00001,3,11,200
3,77,0.00001,3,11,200
46,77,0.00001,3,11,200
85,77,0.00001,3,11,200
82,77,0.00001,3,11,200
4,77,0.00001,3,11,200
22,77,0.00001,3,11,200
48,77,0.00001,3,11,200
68,77,0.00001,3,11,200
36,77,0.00001,3,11,200
45,77,0.00001,3,11,200
25,78,0.00001,3,11,200
49,80,0.00001,3,11,200
87,80,0.00001,3,11,200
43,80,0.00001,3,11,200
0,93,0.00001,3,11,200
100,94,0.00001,3,11,200
26,95,0.00001,3,11,200
34,95,0.00001,3,11,200
42,95,0.00001,3,11,200
10,95,0.00001,3,11,200
32,97,0.00001,3,11,200
80,97,0.00001,3,11,200
16,97,0.00001,3,11,200
88,97,0.00001,3,11,200
39,97,0.00001,3,11,200
51,97,0.00001,3,11,200
67,97,0.00001,3,11,200
5,97,0.00001,3,11,200
7,97,0.00001,3,11,200
29,97,0.00001,3,11,200
3,97,0.00001,3,11,200
46,97,0.00001,3,11,200
85,97,0.00001,3,11,200
82,97,0.00001,3,11,200
4,97,0.00001,3,11,200
22,97,0.00001,3,11,200
48,97,0.00001,3,11,200
68,97,0.00001,3,11,200
36,97,0.00001,3,11,200
45,97,0.00001,3,11,200
86,97,0.00001,3,11,200
75,97,0.00001,3,11,200
89,97,0.00001,3,11,200
25,97,0.00001,3,11,200
14,97,0.00001,3,11,200
7,100,0.00001,3,11,200
7,2,0.0001,3,11,200
43,6,0.0001,3,11,200
64,6,0.0001,3,11,200
44,6,0.0001,3,11,200
41,10,0.0001,3,11,200
54,10,0.0001,3,11,200
16,10,0.0001,3,11,200
88,10,0.0001,3,11,200
39,10,0.0001,3,11,200
16,13,0.0001,3,11,200
88,13,0.0001,3,11,200
39,13,0.0001,3,11,200
0,15,0.0001,3,11,200
100,15,0.0001,3,11,200
65,17,0.0001,3,11,200
61,17,0.0001,3,11,200
81,17,0.0001,3,11,200
76,17,0.0001,3,11,200
28,17,0.0001,3,11,200
71,17,0.0001,3,11,200
70,17,0.0001,3,11,200
91,21,0.0001,3,11,200
96,21,0.0001,3,11,200
64,22,0.0001,3,11,200
44,22,0.0001,3,11,200
21,22,0.0001,3,11,200
60,25,0.0001,3,11,200
62,25,0.0001,3,11,200
91,26,0.0001,3,11,200
96,26,0.0001,3,11,200
7,26,0.0001,3,11,200
11,27,0.0001,3,11,200
19,27,0.0001,3,11,200
7,27,0.0001,3,11,200
45,27,0.0001,3,11,200
77,27,0.0001,3,11,200
18,27,0.0001,3,11,200
15,27,0.0001,3,11,200
47,27,0.0001,3,11,200
9,31,0.0001,3,11,200
51,31,0.0001,3,11,200
19,31,0.0001,3,11,200
5,31,0.0001,3,11,200
29,31,0.0001,3,11,200
1,31,0.0001,3,11,200
3,31,0.0001,3,11,200
46,31,0.0001,3,11,200
85,31,0.0001,3,11,200
82,31,0.0001,3,11,200
4,31,0.0001,3,11,200
68,31,0.0001,3,11,200
66,31,0.0001,3,11,200
0,32,0.0001,3,11,200
43,32,0.0001,3,11,200
1,37,0.0001,3,11,200
0,39,0.0001,3,11,200
45,39,0.0001,3,11,200
57,44,0.0001,3,11,200
67,47,0.0001,3,11,200
43,47,0.0001,3,11,200
5,47,0.0001,3,11,200
29,47,0.0001,3,11,200
1,47,0.0001,3,11,200
3,47,0.0001,3,11,200
46,47,0.0001,3,11,200
85,47,0.0001,3,11,200
82,47,0.0001,3,11,200
4,47,0.0001,3,11,200
22,47,0.0001,3,11,200
48,47,0.0001,3,11,200
68,47,0.0001,3,11,200
36,47,0.0001,3,11,200
91,49,0.0001,3,11,200
96,49,0.0001,3,11,200
5,49,0.0001,3,11,200
22,49,0.0001,3,11,200
48,49,0.0001,3,11,200
68,49,0.0001,3,11,200
36,49,0.0001,3,11,200
45,49,0.0001,3,11,200
4,57,0.0001,3,11,200
21,57,0.0001,3,11,200
43,63,0.0001,3,11,200
9,68,0.0001,3,11,200
91,68,0.0001,3,11,200
96,68,0.0001,3,11,200
